번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
12666,발효유류 ,매일 퓨어 고구마와 노랑당근(매일유업),150,211.73,37.12,7.88,2.92,26.33,132.3,13.27,1.8,0,2017
12667,발효유류 ,매일 퓨어 블루베리(매일유업),150,123.6,21.15,5.25,1.95,21.15,88.2,8.85,1.2,0,2015
12668,발효유류 ,매일 퓨어 블루베리(매일유업),150,185.4,31.73,7.88,2.92,29.11,132.3,13.27,1.8,0,2017
12669,발효유류 ,매일 퓨어 제로팻(매일유업),150,105.9,21.15,5.25,0,19.35,88.2,0,0,0,2015
12670,발효유류 ,매일 퓨어 제로팻(매일유업),150,158.85,31.73,7.88,0,25.42,132.3,0,0,0,2017
12671,발효유류 ,매일 퓨어 플레인(매일유업),100,76.5,12.9,3.5,1.4,12.9,58.8,5.9,0.8,0,2015
12672,발효유류 ,매일 퓨어 플레인(매일유업),100,76.5,12.9,3.5,1.4,10.59,58.8,5.9,0.8,0,2017
12673,발효유류 ,매일바이오 딸기(매일유업),100,94.4,15.55,3.55,1.88,15,66.67,5.55,1.11,0,2015
12674,발효유류 ,매일바이오 딸기(매일유업),100,94.4,15.55,3.55,1.88,8.75,66.67,5.55,1.11,0,2017
12675,발효유류 ,매일바이오 복숭아(매일유업),100,94.44,15.55,3.55,1.89,15,66.67,5.55,1.11,0,2015
12676,발효유류 ,매일바이오 복숭아(매일유업),100,94.44,15.55,3.55,1.89,8.75,66.67,5.55,1.11,0,2017
12677,발효유류 ,매일바이오 블루베리(매일유업),100,94.44,15.56,3.56,1.89,15,66.67,5.55,1.11,0,2015
12678,발효유류 ,매일바이오 블루베리(매일유업),100,94.44,15.56,3.56,1.89,6,66.67,5.55,1.11,0,2017
12679,발효유류 ,매일바이오 코코포도(매일유업),150,141.67,23.33,5.33,2.83,22.5,100,8.33,1.67,0,2015
12680,발효유류 ,매일바이오 코코포도(매일유업),150,212.5,35,8,4.25,29.07,150,12.5,2.5,0,2017
12681,발효유류 ,매일바이오 플레인 로슈거(매일유업),100,72.22,10.56,3.67,1.44,9.78,66.67,5.55,0.78,0,2015
12682,발효유류 ,매일바이오 플레인 로슈거(매일유업),100,72.22,10.56,3.67,1.44,12.5,66.67,5.55,0.78,0,2017
12683,발효유류 ,매일바이오 플레인 요거트(매일유업),100,77.77,5.55,4.44,4.11,5.55,72.22,11.11,2.67,0,2015
12684,발효유류 ,매일바이오 플레인 요거트(매일유업),100,77.77,5.55,4.44,4.11,8.75,72.22,11.11,2.67,0,2017
12685,발효유류 ,매일바이오 플레인 저지방(매일유업),100,61.11,6.67,5,1.44,5.55,66.67,5.55,0.78,0,2015
12686,발효유류 ,매일바이오 플레인 저지방(매일유업),100,61.11,6.67,5,1.44,5.56,66.67,5.55,0.78,0,2017
12687,발효유류 ,매일요구르트(매일유업),150,103.5,23.08,1.65,0,20.76,34.5,0,0,0,2015
12688,발효유류 ,매일요구르트(매일유업),150,155.25,34.63,2.47,0,31.16,51.75,0,0,0,2017
12689,발효유류 ,모닝닥터딸기(비락),100,100,15,3,3,14,60,10,1.8,0,2015
12690,발효유류 ,모닝닥터딸기(비락),100,100,15,3,3,14,60,10,1.8,0,2017
12691,발효유류 ,모닝닥터복숭아(비락),100,105,16,3,3,14,60,10,1.8,0,2015
12692,발효유류 ,모닝닥터복숭아(비락),100,105,16,3,3,14,60,10,1.8,0,2017
12693,발효유류 ,모닝닥터블루베리(비락),100,100,16,3,3,13,60,10,1.8,0,2015
12694,발효유류 ,모닝닥터블루베리(비락),100,100,16,3,3,13,60,10,1.8,0,2017
12695,발효유류 ,모닝닥터코코(비락),100,115,19,3,3,19,60,10,1.8,0,2015
12696,발효유류 ,모닝닥터코코(비락),100,115,19,3,3,19,60,10,1.8,0,2017
12697,발효유류 ,목장의 신선함이 살아있는 요구르트 딸기,150,150,22.5,5.4,3.45,21,82.5,6.15,2.25,0,2015
12698,발효유류 ,목장의 신선함이 살아있는 요구르트 딸기,150,225,33.75,8.1,5.18,31.77,123.75,9.23,3.38,0,2017
12699,발효유류 ,목장의 신선함이 살아있는 요구르트 복숭아,150,150,24,5.55,3.6,22.5,82.5,7.95,2.4,0,2015
12700,발효유류 ,목장의 신선함이 살아있는 요구르트 복숭아,150,225,36,8.32,5.4,31.77,123.75,11.93,3.6,0,2017
12701,발효유류 ,목장의 신선함이 살아있는 요구르트 블루베리,150,150,22.5,5.55,3.6,21,82.5,7.05,2.4,0,2015
12702,발효유류 ,목장의 신선함이 살아있는 요구르트 블루베리,150,225,33.75,8.32,5.4,31.77,123.75,10.57,3.6,0,2017
12703,발효유류 ,목장의 신선함이 살아있는 요구르트 플레인,150,142.5,22.5,4.5,4.05,19.5,105,15,2.55,0,2015
12704,발효유류 ,목장의 신선함이 살아있는 요구르트 플레인,150,213.75,33.75,6.75,6.07,29.25,157.5,22.5,3.83,0,2017
12705,발효유류 ,목장의신선함이살아있는딸기,150,133.8,21.52,4.55,3.42,11.82,68.64,11.82,2.87,0.18,2015
12706,발효유류 ,목장의신선함이살아있는딸기,150,200.7,32.29,6.82,5.13,17.73,102.96,17.73,4.3,0.27,2017
12707,발효유류 ,목장의신선함이살아있는한라봉,150,139.66,19.69,4.92,4.72,10.69,92.03,11.94,3.12,0.21,2015
12708,발효유류 ,목장의신선함이살아있는한라봉,150,209.5,29.54,7.38,7.09,16.04,138.04,17.91,4.68,0.31,2017
12709,발효유류 ,백설플레인요거트(씨제이제일제당),100,70,9,3,2.6,9,60,0,1.6,0,2012
12710,발효유류 ,백설플레인요거트(씨제이제일제당),100,70,9,3,2.6,9,60,0,1.6,0,2017
12711,발효유류 ,"불가리스 프룻 딸기, 블루베리, 크랜베리",100,100,14,3,3.3,14,60,11,0.6,0,2015
12712,발효유류 ,"불가리스 프룻 딸기, 블루베리, 크랜베리",100,100,14,3,3.3,36,60,11,0.6,0,2017
12713,발효유류 ,"불가리스 프룻 자몽, 오렌지",150,150,21,4.5,4.95,21,90,16.5,0.9,0,2015
12714,발효유류 ,"불가리스 프룻 자몽, 오렌지",150,225,31.5,6.75,7.43,69.23,135,24.75,1.35,0,2017
12715,발효유류 ,불가리스20's 딸기,150,127.5,19.5,4.5,4.2,19.5,82.5,15,2.55,0,2015
12716,발효유류 ,불가리스20's 딸기,150,191.25,29.25,6.75,6.3,29.25,123.75,22.5,3.83,0,2017
12717,발효유류 ,불가리스20's 베리믹스,150,127.5,19.5,4.5,4.2,19.5,82.5,15,2.55,0,2015
12718,발효유류 ,불가리스20's 베리믹스,150,191.25,29.25,6.75,6.3,22.5,123.75,22.5,3.83,0,2017
12719,발효유류 ,불가리스20's 사과,150,127.5,19.5,4.5,4.2,19.5,82.5,15,2.55,0,2015
12720,발효유류 ,불가리스20's 사과,150,191.25,29.25,6.75,6.3,28.75,123.75,22.5,3.83,0,2017
12721,발효유류 ,불가리스20's 포도,150,127.5,19.5,4.5,4.2,19.5,82.5,15,2.55,0,2015
12722,발효유류 ,불가리스20's 포도,150,191.25,29.25,6.75,6.3,29.25,123.75,22.5,3.83,0,2017
12723,발효유류 ,불가리스20's 플레인,150,127.5,19.5,4.5,4.2,19.5,82.5,15,2.55,0,2015
12724,발효유류 ,불가리스20's 플레인,150,191.25,29.25,6.75,6.3,22.5,123.75,22.5,3.83,0,2017
12725,발효유류 ,블루베리의상큼함이살아있는요구르트,150,146.25,21.15,5.7,4.65,19.65,71.24,10.94,2.85,0.1,2015
12726,발효유류 ,블루베리의상큼함이살아있는요구르트,150,219.38,31.73,8.55,6.97,29.48,106.85,16.4,4.28,0.16,2017
12727,발효유류 ,비락 비피더스 사과(건국유업),150,101.31,19.2,2.13,1.71,18.13,26.66,5.33,1.07,0,2015
12728,발효유류 ,비락 비피더스 사과(건국유업),150,151.96,28.79,3.2,2.56,21.26,39.99,8,1.6,0,2017
12729,발효유류 ,비락 아사이베리(건국유업),150,149.04,25.96,4.81,4.33,18.27,72.12,14.42,2.88,0,2015
12730,발효유류 ,비락 아사이베리(건국유업),150,223.56,38.94,7.21,6.49,18,108.17,21.63,4.33,0,2017
12731,발효유류 ,비요뜨 베리믹스,100,115,20,3,2.6,14,80,12,1.8,0,2015
12732,발효유류 ,비요뜨 베리믹스,100,115,20,3,2.6,14.12,80,12,1.8,0,2017
12733,발효유류 ,비요뜨 쵸코링,100,150,20,5,5.6,13,100,3.5,2.8,0,2015
12734,발효유류 ,비요뜨 쵸코링,100,150,20,5,5.6,13.29,100,3.5,2.8,0,2017
12735,발효유류 ,비요뜨 크런치볼,100,150,19,5,5.6,14,100,14,3.5,0,2015
12736,발효유류 ,비요뜨그래놀라,100,150,20,5,4.8,13,80,10,2.4,0,2015
12737,발효유류 ,비요뜨그래놀라,100,150,20,5,4.8,12.93,80,10,2.4,0,2017
12738,발효유류 ,비타민요구르트(매일유업),100,69,15.39,1.1,0,13.84,23,0,0,0,2015
12739,발효유류 ,비타민요구르트(매일유업),100,69,15.39,1.1,0,9,23,0,0,0,2017
12740,발효유류 ,비피더스 드링킹 블루베리(푸르밀),150,100.5,19.5,2.25,1.5,15,60,7.5,1.2,0,2015
12741,발효유류 ,비피더스 드링킹 블루베리(푸르밀),150,150.75,29.25,3.38,2.25,22.5,90,11.25,1.8,0,2017
12742,발효유류 ,비피더스 드링킹 사과(푸르밀),150,100.5,19.5,2.25,1.5,15,60,7.5,1.2,0,2015
12743,발효유류 ,비피더스 드링킹 사과(푸르밀),150,150.75,29.25,3.38,2.25,22.5,90,11.25,1.8,0,2017
12744,발효유류 ,비피더스 매실(푸르밀),150,95.76,18.21,2.36,1.5,15,58.94,5.36,1.18,0,2015
12745,발효유류 ,비피더스 매실(푸르밀),150,143.64,27.31,3.53,2.25,22.5,88.4,8.03,1.78,0,2017
12746,발효유류 ,비피더스 블루베리(푸르밀),100,67,13,1.5,1,10,40,5,0.8,0,2015
12747,발효유류 ,비피더스 블루베리(푸르밀),100,67,13,1.5,1,10,40,5,0.8,0,2017
12748,발효유류 ,비피더스 사과(건국유업),150,101.31,19.2,2.13,1.71,18.13,26.66,5.33,1.07,0,2015
12749,발효유류 ,비피더스 사과(건국유업),150,151.96,28.79,3.2,2.56,22.5,39.99,8,1.6,0,2017
12750,발효유류 ,비피더스 사과(비락),150,112.5,21,3,1.8,19.5,30,0,1.2,0,2015
12751,발효유류 ,비피더스 사과(비락),150,168.75,31.5,4.5,2.7,29.25,45,0,1.8,0,2017
12752,발효유류 ,비피더스 사과(푸르밀),150,100.5,19.5,2.25,1.5,15,60,7.5,1.2,0,2015
12753,발효유류 ,비피더스 사과(푸르밀),150,150.75,29.25,3.38,2.25,22.5,90,11.25,1.8,0,2017
12754,발효유류 ,비피더스 석류(푸르밀),100,66.72,12.86,1.57,1,10,35.71,3.57,0.79,0,2015
12755,발효유류 ,비피더스 석류(푸르밀),100,66.72,12.86,1.57,1,10,35.71,3.57,0.79,0,2017
12756,발효유류 ,비피더스 지방제로 세븐베리(푸르밀),100,53.44,11.43,1.93,0,10,42.86,3.57,0,0,2015
12757,발효유류 ,비피더스 지방제로 세븐베리(푸르밀),100,53.44,11.43,1.93,0,10,42.86,3.57,0,0,2017
12758,발효유류 ,비피더스 지방제로 플레인(푸르밀),100,53.72,11.43,2,0,10,42.86,3.57,0,0,2015
12759,발효유류 ,비피더스 지방제로 플레인(푸르밀),100,53.72,11.43,2,0,10,42.86,3.57,0,0,2017
12760,발효유류 ,비피더스 청포도(푸르밀),150,99.66,19.29,2.25,1.5,15,58.94,5.36,1.18,0,2015
12761,발효유류 ,비피더스 청포도(푸르밀),150,149.49,28.94,3.38,2.25,22.5,88.4,8.03,1.78,0,2017
12762,발효유류 ,비피더스 포도(푸르밀),150,96.47,19.29,1.93,1.29,15,48.21,5.36,0.96,0,2015
12763,발효유류 ,비피더스 포도(푸르밀),150,144.71,28.94,2.9,1.93,22.5,72.32,8.03,1.44,0,2017
12764,발효유류 ,비피더스명장 사과(동원F&B),150,75,16.5,1.5,0,12,75,0,0,0,2015
12765,발효유류 ,비피더스명장 사과(동원F&B),150,112.5,24.75,2.25,0,29.99,112.5,0,0,0,2017
12766,발효유류 ,빙그레요구르트(매일유업),150,103.5,23.08,1.65,0,20.76,34.5,0,0,0,2015
12767,발효유류 ,빙그레요구르트(매일유업),150,155.25,34.63,2.47,0,20.25,51.75,0,0,0,2017
12768,발효유류 ,뽀로로와친구들 딸기,100,68.75,16.25,1.25,0,12.5,31.25,0,0,0,2012
12769,발효유류 ,뽀로로와친구들 딸기,100,85.94,20.31,1.56,0,12.5,39.06,0,0,0,2017
12770,발효유류 ,뽀로로와친구들 사과(합동산업),150,103.12,24.36,1.69,0,18.75,46.88,0,0,0,2015
12771,발효유류 ,뽀로로와친구들 사과(합동산업),150,154.69,36.54,2.53,0,28.12,70.31,0,0,0,2017
12772,발효유류 ,사과상큼함이살아있는요구르트,150,141.45,20.7,5.85,4.35,17.25,70.35,11.41,2.7,0.1,2015
12773,발효유류 ,사과상큼함이살아있는요구르트,150,212.18,31.05,8.77,6.53,25.88,105.53,17.12,4.05,0.16,2017
12774,발효유류 ,삼양대관령요구르트(삼양식품),100,70,17,1,0,10,30,0,0,0,2015
12775,발효유류 ,삼양대관령요구르트(삼양식품),100,70,17,1,0,10,30,0,0,0,2017
12776,발효유류 ,상하목장 유기 요구르트 블루베리(매일유업),150,125,18,4,4.6,17,80,15,3.4,0,2015
12777,발효유류 ,상하목장 유기 요구르트 블루베리(매일유업),150,187.5,27,6,6.9,13.64,120,22.5,5.1,0,2017
12778,발효유류 ,상하목장 유기 요구르트 스트로베리(매일유업),150,135,20,4,4.6,18,80,15,3.4,0,2015
12779,발효유류 ,상하목장 유기 요구르트 스트로베리(매일유업),150,202.5,30,6,6.9,10.24,120,22.5,5.1,0,2017
12780,발효유류 ,상하목장 유기 요구르트 플레인(매일유업),150,130.5,16.5,4.05,6,15,75,19.5,3.75,0,2015
12781,발효유류 ,상하목장 유기 요구르트 플레인(매일유업),150,195.75,24.75,6.07,9,5.06,112.5,29.25,5.62,0,2017
12782,발효유류 ,상하목장 유기농 요구르트(매일유업),150,132.3,17.7,5.25,4.8,17.7,88.2,17.7,3.6,0,2015
12783,발효유류 ,상하목장 유기농 요구르트(매일유업),150,198.45,26.55,7.88,7.2,23.38,132.3,26.55,5.4,0,2017
12784,발효유류 ,새코미(동원F&B),150,97.5,21,3,0,16.5,30,0,0,0,2015
12785,발효유류 ,새코미(동원F&B),150,146.25,31.5,4.5,0,24.23,45,0,0,0,2017
12786,발효유류 ,생요구르트(푸르밀),100,136.62,12.05,3.13,8.43,12.05,60.24,30.12,5.3,0,2015
12787,발효유류 ,생요구르트(푸르밀),100,136.62,12.05,3.13,8.43,12.05,60.24,30.12,5.3,0,2017
12788,발효유류 ,생크림 요거트(동원F&B),100,135,13,2,8.4,13,45,22,5.5,0.4,2015
12789,발효유류 ,생크림 요거트(동원F&B),100,135,13,2,8.4,14.44,45,22,5.5,0.4,2017
12790,발효유류 ,서울우유 행복을 가득담은 요거트 러뷰 딸기,100,105,18,4.2,2,13,70,5.3,1.3,0,2015
12791,발효유류 ,서울우유 행복을 가득담은 요거트 러뷰 블루베리,100,105,18,4.2,2,13,70,5.3,1.3,0,2015
12792,발효유류 ,서울우유 행복을 가득담은 요거트 러뷰 애플캐럿,100,105,18,4.2,2,13,70,5.3,1.3,0,2015
12793,발효유류 ,서울우유 행복을 가득담은 요거트 러뷰 애플캐럿,100,105,18,4.2,2,13,70,5.3,1.3,0,2017
12794,발효유류 ,서울우유 행복을 가득담은 요거트 러뷰 오렌지자몽,100,105,18,4.2,2,13,70,5.3,1.3,0,2015
12795,발효유류 ,서울우유 행복을 가득담은 요거트 러뷰 청사과,100,105,18,4.2,2,13,70,5.3,1.3,0,2015
12796,발효유류 ,서울우유 행복을 가득담은 요거트 러뷰 청사과,100,105,18,4.2,2,13,70,5.3,1.3,0,2017
12797,발효유류 ,서울우유MBP요구르트,100,55.6,12.8,1.1,0,11.44,44.5,0.41,0,0,2015
12798,발효유류 ,서울우유요구르트(서울우유),150,96.15,22.2,1.5,0.15,19.35,30.74,0,0,0,2015
12799,발효유류 ,서울우유요구르트(서울우유),150,144.23,33.3,2.25,0.22,29.02,46.1,0,0,0,2017
12800,발효유류 ,서울우유코코몽요구르트,150,87.78,20.44,1.23,0.12,14.34,25.86,0,0.09,0,2015
12801,발효유류 ,서울우유코코몽요구르트,150,131.67,30.67,1.85,0.18,21.51,38.79,0,0.14,0,2017
12802,발효유류 ,세브란스 위락(연세대학교 연세우유),150,157.5,22.5,4.5,4.5,13.5,90,1.5,3,0,2015
12803,발효유류 ,세브란스 위락(연세대학교 연세우유),150,236.25,33.75,6.75,6.75,20.25,135,2.25,4.5,0,2017
12804,발효유류 ,세븐 엘더플라워(한국야쿠르트),150,120,27,3,0,22.5,60,0,0,0,2015
12805,발효유류 ,세븐 엘더플라워(한국야쿠르트),150,180,40.5,4.5,0,26.66,90,0,0,0,2017
12806,발효유류 ,세븐 키즈(한국야쿠르트),150,75,18,1.5,0,13.5,30,0,0,0,2015
12807,발효유류 ,세븐 키즈(한국야쿠르트),150,112.5,27,2.25,0,20.25,45,0,0,0,2017
12808,발효유류 ,세븐 허니(한국야쿠르트),150,112.5,31.5,3,0,16.5,37.5,0,0,0,2015
12809,발효유류 ,세븐 허니(한국야쿠르트),150,168.75,47.25,4.5,0,24.75,56.25,0,0,0,2017
12810,발효유류 ,쉼 골드키위&망고(이담),150,135,18,4.5,4.5,13.5,90,30,3,0,2015
12811,발효유류 ,쉼 골드키위&망고(이담),150,202.5,27,6.75,6.75,20.25,135,45,4.5,0,2017
12812,발효유류 ,쉼 블루베리(이담),150,142.5,22.5,4.5,4.5,12,60,15,3,0,2015
12813,발효유류 ,쉼 블루베리(이담),150,213.75,33.75,6.75,6.75,18,90,22.5,4.5,0,2017
12814,발효유류 ,슈퍼100 premium 딸기(한국야쿠르트),100,85,14,3,1.7,12,40,5,1,0,2015
12815,발효유류 ,슈퍼100 premium 딸기(한국야쿠르트),100,85,14,3,1.7,12,40,5,1,0,2017
12816,발효유류 ,슈퍼100 premium 복숭아(한국야쿠르트),100,75,12,3,1.8,11,40,5,1.2,0,2015
12817,발효유류 ,슈퍼100 premium 복숭아(한국야쿠르트),100,75,12,3,1.8,11,40,5,1.2,0,2017
12818,발효유류 ,슈퍼100 premium 블루베리(한국야쿠르트),100,75,12,3,1.8,11,40,5,1.2,0,2015
12819,발효유류 ,슈퍼100 premium 블루베리(한국야쿠르트),100,75,12,3,1.8,11,40,5,1.2,0,2017
12820,발효유류 ,아사이베리(비락),150,157.5,27,4.5,4.5,19.5,75,15,3,0,2015
12821,발효유류 ,아사이베리(비락),150,236.25,40.5,6.75,6.75,29.25,112.5,22.5,4.5,0,2017
12822,발효유류 ,알엔비 씨리얼(한국야쿠르트),150,210,34.5,7.5,6.45,21,97.5,15,4.2,0,2015
12823,발효유류 ,알엔비 씨리얼(한국야쿠르트),150,315,51.75,11.25,9.68,31.5,146.25,22.5,6.3,0,2017
12824,발효유류 ,알엔비 저지방 블루베리(한국야쿠르트),150,172.5,33,7.5,2.85,21,90,15,1.95,0,2015
12825,발효유류 ,알엔비 저지방 블루베리(한국야쿠르트),150,258.75,49.5,11.25,4.28,31.5,135,22.5,2.92,0,2017
12826,발효유류 ,알엔비 저지방 사과(한국야쿠르트),150,187.5,37.5,7.5,2.85,22.5,51,22.5,1.65,0,2015
12827,발효유류 ,알엔비 저지방 사과(한국야쿠르트),150,281.25,56.25,11.25,4.28,24.1,76.5,33.75,2.47,0,2017
12828,발효유류 ,야쿠르트 400 라이트(한국야쿠르트),150,60,13.5,1.5,0,7.5,30,0,0,0,2015
12829,발효유류 ,야쿠르트 400 라이트(한국야쿠르트),150,90,20.25,2.25,0,36.56,45,0,0,0,2017
12830,발효유류 ,야쿠르트 라이트(한국야쿠르트),150,45,10.5,1.5,0,7.5,22.5,0,0,0,2015
12831,발효유류 ,야쿠르트 라이트(한국야쿠르트),150,67.5,15.75,2.25,0,17.3,33.75,0,0,0,2017
12832,발효유류 ,야쿠르트(한국야쿠르트),150,67.5,15,1.5,0,13.5,22.5,0,0,0,2015
12833,발효유류 ,야쿠르트(한국야쿠르트),150,101.25,22.5,2.25,0,30.94,33.75,0,0,0,2017
12834,발효유류 ,어린이요구르트 앙팡,100,76.53,14.98,1.25,1.29,8.56,41.4,4.78,1.1,0.07,2015
12835,발효유류 ,어린이요구르트 앙팡 플러스,150,114.79,22.47,1.88,1.93,12.84,62.1,7.17,1.65,0.1,2015
12836,발효유류 ,어린이요구르트 앙팡 플러스,150,172.19,33.71,2.81,2.9,19.26,93.15,10.76,2.47,0.16,2017
12837,발효유류 ,얼려먹는 세븐 베리스노우(한국야쿠르트),100,150,24,4,4.3,23,55,10,2.6,0,2015
12838,발효유류 ,얼려먹는 세븐 베리스노우(한국야쿠르트),100,150,24,4,4.3,17.5,55,10,2.6,0,2017
12839,발효유류 ,얼려먹는 세븐 요거스노우(한국야쿠르트),100,150,24,4,4.3,23,55,10,2.6,0,2015
12840,발효유류 ,얼려먹는 세븐 요거스노우(한국야쿠르트),100,150,24,4,4.3,19.17,55,10,2.6,0,2017
12841,발효유류 ,얼려먹는 세븐 허니망고(한국야쿠르트),100,150,24,4,4,24,55,15,2.6,0,2015
12842,발효유류 ,얼려먹는 세븐 허니망고(한국야쿠르트),100,150,24,4,4,20,55,15,2.6,0,2017
12843,발효유류 ,얼려먹는 요플레 FROZEN 딸기(빙그레),100,116.67,17.5,2.92,3.75,16.67,58.33,12.5,2.25,0,2015
12844,발효유류 ,얼려먹는 요플레 FROZEN 딸기(빙그레),100,116.67,17.5,2.92,3.75,16.67,58.33,12.5,2.25,0,2017
12845,발효유류 ,얼려먹는 요플레 FROZEN 플레인(빙그레),100,116.67,17.5,2.92,3.75,16.67,58.33,12.5,2.25,0,2015
12846,발효유류 ,얼려먹는 요플레 FROZEN 플레인(빙그레),100,116.67,17.5,2.92,3.75,16.67,58.33,12.5,2.25,0,2017
12847,발효유류 ,에이스 라이트(한국야쿠르트),150,45,9,1.5,0,6,30,0,0,0,2015
12848,발효유류 ,에이스 라이트(한국야쿠르트),150,67.5,13.5,2.25,0,9,45,0,0,0,2017
12849,발효유류 ,에이스(한국야쿠르트),150,75,18,1.5,0,16.5,30,0,0,0,2015
12850,발효유류 ,에이스(한국야쿠르트),150,112.5,27,2.25,0,24.75,45,0,0,0,2017
12851,발효유류 ,엔요 블루베리(매일유업),150,75,18.75,1.88,0,16.88,65.62,0,0,0,2015
12852,발효유류 ,엔요 블루베리(매일유업),150,112.5,28.12,2.81,0,25.31,98.44,0,0,0,2017
12853,발효유류 ,엔요 사과당근(매일유업),150,75,18.75,1.88,0,16.88,37.5,0,0,0,2015
12854,발효유류 ,엔요 사과당근(매일유업),150,112.5,28.12,2.81,0,25.31,56.25,0,0,0,2017
12855,발효유류 ,엔요 오리지널(매일유업),150,75,18.75,1.88,0,16.88,37.5,0,0,0,2015
12856,발효유류 ,엔요 오리지널(매일유업),150,112.5,28.12,2.81,0,62.69,56.25,0,0,0,2017
12857,발효유류 ,엔요(매일유업),150,93.75,22.5,1.35,0,20.62,37.5,0,0,0,2015
12858,발효유류 ,엔요(매일유업),150,140.62,33.75,2.03,0,25.31,56.25,0,0,0,2017
12859,발효유류 ,연세 오메가3(연세대학교 연세우유),100,115,19,3,2.7,12,60,10,1.3,0,2015
12860,발효유류 ,연세 오메가3(연세대학교 연세우유),100,115,19,3,2.7,12,60,10,1.3,0,2017
12861,발효유류 ,연세랑 딸기(풀무원 다논),100,95,17,3,1.8,16,55,11,1,0,2015
12862,발효유류 ,연세랑 딸기(풀무원 다논),100,95,17,3,1.8,16,55,11,1,0,2017
12863,발효유류 ,연세랑 블루베리(풀무원 다논),100,85,15,3,1.6,14,50,10,1,0,2015
12864,발효유류 ,연세랑 블루베리(풀무원 다논),100,85,15,3,1.6,14,50,10,1,0,2017
12865,발효유류 ,연세랑 플레인(풀무원 다논),100,90,16,3,1.9,14,60,11,1,0,2015
12866,발효유류 ,연세랑 플레인(풀무원 다논),100,90,16,3,1.9,14,60,11,1,0,2017
12867,발효유류 ,요가365딸기(비락),100,100,15,3,3,14,60,10,1.8,0,2015
12868,발효유류 ,요가365딸기(비락),100,100,15,3,3,14,60,10,1.8,0,2017
12869,발효유류 ,요가365복숭아(비락),100,105,16,3,3,14,60,10,1.8,0,2015
12870,발효유류 ,요가365복숭아(비락),100,105,16,3,3,14,60,10,1.8,0,2017
12871,발효유류 ,요가365블루베리(비락),100,100,16,3,3,13,60,10,1.8,0,2015
12872,발효유류 ,요가365블루베리(비락),100,100,16,3,3,13,60,10,1.8,0,2017
12873,발효유류 ,요가365코코(비락),100,115,19,3,3,19,60,10,1.8,0,2015
12874,발효유류 ,요가365코코(비락),100,115,19,3,3,19,60,10,1.8,0,2017
12875,발효유류 ,요거트 딸기(삼양식품),100,105,18,4,2,18,55,10,1.3,0,2015
12876,발효유류 ,요거트 딸기(삼양식품),100,105,18,4,2,18,55,10,1.3,0,2017
12877,발효유류 ,요거트 복숭아(삼양식품),100,105,18,4,2,18,55,10,1.3,0,2015
12878,발효유류 ,요거트 복숭아(삼양식품),100,105,18,4,2,18,55,10,1.3,0,2017
12879,발효유류 ,요러브 딸기 요거트(동원F&B),100,100,14,4,3,14,65,8,2,0,2015
12880,발효유류 ,요러브 딸기 요거트(동원F&B),100,100,14,4,3,14.44,65,8,2,0,2017
12881,발효유류 ,요러브 복숭아 요거트(동원F&B),100,100,14,4,3,14,65,8,2,0,2015
12882,발효유류 ,요러브 복숭아 요거트(동원F&B),100,100,14,4,3,14,65,8,2,0,2017
12883,발효유류 ,요페(비락),150,82.5,19.5,1.5,0,19.5,37.5,0,0,0,2015
12884,발효유류 ,요페(비락),150,123.75,29.25,2.25,0,29.25,56.25,0,0,0,2017
12885,발효유류 ,요플레 YOPA! 딸기(빙그레),100,94.11,11.76,7.64,2,10.58,35.29,11.76,1.41,0,2015
12886,발효유류 ,요플레 YOPA! 딸기(빙그레),100,94.11,11.76,7.64,2,10.59,35.29,11.76,1.41,0,2017
12887,발효유류 ,요플레 YOPA! 블루베리(빙그레),100,94.11,11.76,7.64,2,10.58,35.29,11.76,1.41,0,2015
12888,발효유류 ,요플레 YOPA! 블루베리(빙그레),100,94.11,11.76,7.64,2,10.59,35.29,11.76,1.41,0,2017
12889,발효유류 ,요플레 YOPA! 플레인(빙그레),100,82.35,8.23,8.23,2,5.88,35.29,11.76,1.41,0,2015
12890,발효유류 ,요플레 YOPA! 플레인(빙그레),100,82.35,8.23,8.23,2,5.88,35.29,11.76,1.41,0,2017
12891,발효유류 ,요플레 네이처 딸기,100,97.06,14.12,3.53,2.94,12.94,58.82,11.77,2,0,2012
12892,발효유류 ,요플레 네이처 딸기,100,114.19,16.61,4.15,3.46,12.94,69.21,13.84,2.35,0,2017
12893,발효유류 ,요플레 네이처 플레인(빙그레),100,94.11,10.58,4.7,3.52,10.58,47,11.76,2.35,0,2015
12894,발효유류 ,요플레 네이처 플레인(빙그레),100,94.11,10.58,4.7,3.52,10.59,47,11.76,2.35,0,2017
12895,발효유류 ,요플레 떠먹는 키즈 딸기(빙그레),100,100,13.75,3.75,3.25,13.75,62.5,12.5,2.5,0,2015
12896,발효유류 ,요플레 떠먹는 키즈 딸기(빙그레),100,100,13.75,3.75,3.25,13.75,62.5,12.5,2.5,0,2017
12897,발효유류 ,요플레 떠먹는 키즈 바나나(빙그레),100,100,13.75,3.75,3.25,12.5,50,12.5,2.5,0,2015
